participant_id,plabel,item_pos,item_id,code,n_turns,rationale
P002,P01,1,pcp_ana_fa_2,FULL_OUTSOURCING,1,Direct request for the answer ('give me the correct answer') with no own candidate offered.
P002,P01,2,pcp_eval_fa_11,NO_INTERACTION,0,No turns were logged for this item.
P002,P01,3,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P002,P01,4,pcp_und_fa_1,FULL_OUTSOURCING,1,"Forwards the item's own question verbatim ('What would you say is the difference...'), which asks the assistant to answer the item."
P002,P01,5,pcp_rem_fa_1,FULL_OUTSOURCING,1,Reproduces the item question verbatim and demands the verdict ('...? - yes or no') without offering an own answer.
P002,P01,6,pcp_ana_fa_1,FULL_OUTSOURCING,1,Forwards the item's own question verbatim; assistant asked to select the best chart.
P002,P01,7,pcp_eval_fa_10,NO_INTERACTION,0,No turns were logged for this item.
P002,P01,8,pcp_rem_fa_2,FULL_OUTSOURCING,1,"Reproduces the item question verbatim plus 'Yes or no?', requesting the verdict directly."
P005,P02,1,pcp_und_fa_1,FULL_OUTSOURCING,2,"Direct request ('Give me the answer'); follow-up 'so a,b,c or d' pushes for the option letter."
P005,P02,2,pcp_ana_fa_1,FULL_OUTSOURCING,1,Direct request ('give me the answer') with no own candidate.
P005,P02,3,pcp_und_fa_2,FULL_OUTSOURCING,2,"Direct request ('give me the answer'); follow-up restates the two options for the assistant to adjudicate, still without an own pick."
P005,P02,4,pcp_ana_fa_2,FULL_OUTSOURCING,1,Direct request ('give me the answer') with no own candidate.
P005,P02,5,pcp_rem_fa_1,FULL_OUTSOURCING,1,Direct request ('give me the answer') with no own candidate.
P005,P02,6,pcp_eval_fa_10,FULL_OUTSOURCING,3,"Direct request ('give me the answer'), then pastes the answer options for the assistant to choose from."
P005,P02,7,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('give me the answer') with no own candidate.
P005,P02,8,pcp_eval_fa_11,FULL_OUTSOURCING,2,"Direct request ('give me the answer'), then pastes the options so the assistant can pick one."
P007,P03,1,pcp_rem_fa_1,FULL_OUTSOURCING,1,Open-ended handover ('can u help me') of the shared item with no concept question or own candidate; assistant asked to deal with the item.
P007,P03,2,pcp_ana_fa_1,FULL_OUTSOURCING,1,Open-ended handover ('can u help me') with no own reasoning; the item is the only referent.
P007,P03,3,pcp_eval_fa_11,FULL_OUTSOURCING,2,"After 'can u help me', explicitly asks 'which one is correct?' - a direct request to select the answer option."
