pid,plabel,item_id,bloom,position,code,n_turns,answer,key,correct,idk,adopt_delta_s,llm_answer,answer_form,mapping_difficulty,extract_confidence,excerpt,cat,llm_committed,llm_correct,adopted,prompt_chars,verbatim_paste,asked_reasoning,bare_answer_demand
P002,P01,pcp_ana_fa_2,Analyze,0,FULL_OUTSOURCING,1,B,B,1,False,18.849,B,descriptive,nontrivial,high,the second scatterplot from the left ... matches the 2nd image,ana,True,1.0,1.0,26,False,False,False
P002,P01,pcp_und_fa_1,Understand,3,FULL_OUTSOURCING,1,B,B,1,False,5.051,B,descriptive,trivial,high,the carbohydrate axis is reversed/inverted,und,True,1.0,1.0,82,True,False,False
P002,P01,pcp_rem_fa_1,Remember,4,FULL_OUTSOURCING,1,A,A,1,False,2.585,A,descriptive,trivial,high,Yes.,rem,True,1.0,1.0,62,True,False,False
P002,P01,pcp_ana_fa_1,Analyze,5,FULL_OUTSOURCING,1,D,D,1,False,8.586,D,clean_option,,high,Answer: D,ana,True,1.0,1.0,167,True,False,False
P002,P01,pcp_rem_fa_2,Remember,7,FULL_OUTSOURCING,1,A,A,1,False,2.437,A,descriptive,trivial,high,Yes.,rem,True,1.0,1.0,61,True,False,False
P005,P02,pcp_und_fa_1,Understand,0,FULL_OUTSOURCING,2,B,B,1,False,10.941,B,descriptive,trivial,high,the option that says chart (b) has the carbohydrate axis reversed/flipped,und,True,1.0,1.0,31,False,False,False
P005,P02,pcp_ana_fa_1,Analyze,1,FULL_OUTSOURCING,1,D,D,1,False,8.586,D,clean_option,,high,The best choice is D,ana,True,1.0,1.0,18,False,False,False
P005,P02,pcp_und_fa_2,Understand,2,FULL_OUTSOURCING,2,B,B,1,False,4.076,B,descriptive,trivial,high,It is the malaria cases and poverty rate that have been reordered,und,True,1.0,1.0,135,False,False,False
P005,P02,pcp_ana_fa_2,Analyze,3,FULL_OUTSOURCING,1,B,B,1,False,11.616,B,descriptive,nontrivial,high,Answer: the 2nd scatterplot,ana,True,1.0,1.0,18,False,False,False
P005,P02,pcp_rem_fa_1,Remember,4,FULL_OUTSOURCING,1,A,A,1,False,2.107,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,18,False,False,False
P005,P02,pcp_eval_fa_10,Evaluate,5,FULL_OUTSOURCING,3,A,A,1,False,6.976,A,clean_option,,high,1) color legend not properly labeled,eval,True,1.0,1.0,158,False,False,False
P005,P02,pcp_rem_fa_2,Remember,6,FULL_OUTSOURCING,1,A,A,1,False,2.953,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,18,False,False,False
P005,P02,pcp_eval_fa_11,Evaluate,7,FULL_OUTSOURCING,2,C,A,0,False,2.581,C,clean_option,,high,T2: c) the slopes of the edges is too high,eval,True,0.0,1.0,158,False,False,False
P007,P03,pcp_rem_fa_1,Remember,0,FULL_OUTSOURCING,1,A,A,1,False,8.441,A,descriptive,trivial,high,Yes - this is a parallel coordinates plot.,rem,True,1.0,1.0,13,False,False,False
P007,P03,pcp_ana_fa_1,Analyze,1,FULL_OUTSOURCING,1,D,D,1,False,6.105,D,clean_option,,high,So the answer is D.,ana,True,1.0,1.0,13,False,False,False
P007,P03,pcp_eval_fa_11,Evaluate,2,FULL_OUTSOURCING,2,E,A,0,True,27.379,,no_answer,,high,Please upload the chart and the answer choices.,eval,False,,,34,False,False,False
P007,P03,pcp_und_fa_1,Understand,4,FULL_OUTSOURCING,1,B,B,1,False,18.273,B,descriptive,trivial,high,carbohydrate has been flipped/inverted (0 at the top...),und,True,1.0,1.0,14,False,False,False
P007,P03,pcp_eval_fa_10,Evaluate,5,FULL_OUTSOURCING,1,A,A,1,False,28.956,,descriptive,unmappable,high,far too cluttered/overplotted (matches no option),eval,False,,,14,False,False,False
P007,P03,pcp_ana_fa_2,Analyze,7,FULL_OUTSOURCING,1,B,B,1,False,28.776,B,descriptive,nontrivial,high,The correct choice is the second scatterplot,ana,True,1.0,1.0,16,False,False,False
P011,P04,pcp_ana_fa_2,Analyze,0,FULL_OUTSOURCING,1,B,B,1,False,22.405,B,descriptive,nontrivial,high,the 2nd scatterplot ... image 2,ana,True,1.0,1.0,33,False,False,False
P011,P04,pcp_ana_fa_1,Analyze,1,FULL_OUTSOURCING,1,D,D,1,False,8.846,D,clean_option,,high,The correct answer is D.,ana,True,1.0,1.0,33,False,False,False
P011,P04,pcp_rem_fa_2,Remember,3,FULL_OUTSOURCING,1,A,A,1,False,8.048,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,33,False,False,False
P011,P04,pcp_rem_fa_1,Remember,4,FULL_OUTSOURCING,1,B,A,0,False,5.687,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,0.0,33,False,False,False
P011,P04,pcp_und_fa_2,Understand,5,FULL_OUTSOURCING,1,A,B,0,False,9.66,B,descriptive,nontrivial,high,chart (b) swaps the middle and right variables (Poverty <-> Malaria 2013),und,True,1.0,0.0,33,False,False,False
P011,P04,pcp_eval_fa_10,Evaluate,6,FULL_OUTSOURCING,1,C,A,0,False,43.6,,descriptive,unmappable,high,overplotting/clutter (matches no option),eval,False,,,33,False,False,False
P014,P05,pcp_eval_fa_10,Evaluate,0,FULL_OUTSOURCING,1,A,A,1,False,73.66,,descriptive,unmappable,high,overplotting/clutter; secondary: generic title (matches no option),eval,False,,,27,False,False,False
P014,P05,pcp_eval_fa_11,Evaluate,1,FULL_OUTSOURCING,1,A,A,1,False,23.589,,descriptive,unmappable,high,overplotting/clutter (matches no option),eval,False,,,32,True,False,False
P014,P05,pcp_und_fa_2,Understand,2,FULL_OUTSOURCING,1,C,B,0,False,66.709,B,descriptive,nontrivial,high,chart (b) reorders the variables (last two swapped),und,True,1.0,0.0,82,True,False,False
P014,P05,pcp_rem_fa_1,Remember,3,FULL_OUTSOURCING,1,A,A,1,False,7.041,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot,rem,True,1.0,1.0,50,True,False,False
P014,P05,pcp_ana_fa_1,Analyze,4,FULL_OUTSOURCING,1,D,D,1,False,7.597,D,clean_option,,high,Answer: D (explicitly rejects C as non-adjacent),ana,True,1.0,1.0,167,True,False,False
P014,P05,pcp_und_fa_1,Understand,5,FULL_OUTSOURCING,1,B,B,1,False,25.333,B,descriptive,trivial,high,carbohydrate axis is reversed/inverted,und,True,1.0,1.0,82,True,False,False
P014,P05,pcp_rem_fa_2,Remember,6,FULL_OUTSOURCING,1,A,A,1,False,12.122,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot,rem,True,1.0,1.0,50,True,False,False
P014,P05,pcp_ana_fa_2,Analyze,7,FULL_OUTSOURCING,1,B,B,1,False,39.893,B,descriptive,nontrivial,high,that is the second scatterplot from the left,ana,True,1.0,1.0,86,True,False,False
P019,P06,pcp_eval_fa_11,Evaluate,1,FULL_OUTSOURCING,1,A,A,1,False,25.186,,descriptive,unmappable,high,overplotting/clutter + colors low contrast (matches no option),eval,False,,,34,False,False,False
P019,P06,pcp_eval_fa_10,Evaluate,4,FULL_OUTSOURCING,1,D,A,0,False,19.745,,descriptive,unmappable,high,overplotting/clutter; generic title; normalized axes (no option match),eval,False,,,33,False,False,False
P019,P06,pcp_ana_fa_2,Analyze,5,FULL_OUTSOURCING,1,B,B,1,False,26.232,B,descriptive,nontrivial,high,second image from the left ... 2nd scatterplot,ana,True,1.0,1.0,86,True,False,False
P019,P06,pcp_rem_fa_1,Remember,7,FULL_OUTSOURCING,1,A,A,1,False,5.407,A,descriptive,trivial,high,Yes. ...characteristic of a parallel coordinates plot,rem,True,1.0,1.0,50,True,False,False
P022,P07,pcp_rem_fa_2,Remember,0,FULL_OUTSOURCING,1,A,A,1,False,2.228,A,descriptive,trivial,high,Yes.,rem,True,1.0,1.0,50,True,False,False
P022,P07,pcp_eval_fa_10,Evaluate,1,FULL_OUTSOURCING,1,A,A,1,False,23.621,,no_answer,,high,I need to see the chart first.,eval,False,,,30,True,False,False
P022,P07,pcp_rem_fa_1,Remember,2,FULL_OUTSOURCING,1,A,A,1,False,1.868,A,descriptive,trivial,high,Yes.,rem,True,1.0,1.0,50,True,False,False
P022,P07,pcp_und_fa_1,Understand,3,FULL_OUTSOURCING,1,B,B,1,False,11.104,,no_answer,,high,I need to see charts (a) and (b) first.,und,False,,,82,True,False,False
